reaction_id,bgc_id,step_type,domains_norm,at_substrate,closure,pt_mode,origin,reactant_smiles_std,product_smiles_std,file_stem,variant,selected_mapper,aam,module_from,module_to
BGC1000001_m4_to_m5,BGC1000001,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,BGC1000001_m4_to_m5__r0,0,graphormer,[O:12]=[C:11]([CH2:10][CH:8]([CH2:7][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH3:1])[OH:9])[CH2:13][C:14]([S:16])=[O:15]>>[C:5]=12[CH:7]=[CH:8][CH:10]=[C:11]([OH:15])[C:13]=1[C:14]([O:3][C@H:2]([CH3:1])[CH2:4]2)=[O:9],4.0,5.0
BGC1000001_m4_to_m5,BGC1000001,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,BGC1000001_m4_to_m5__r1,1,graphormer,[O:12]=[C:11]([CH2:10][CH:8]([CH2:7][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH3:1])[OH:9])[CH2:13][C:14]([S:16])=[O:15]>>[C:5]=12[CH:7]=[CH:8][CH:10]=[C:11]([OH:15])[C:13]=1[C:14]([O:3][C@H:2]([CH3:1])[CH2:4]2)=[O:9],4.0,5.0
BGC1000001_m4_to_m5,BGC1000001,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,BGC1000001_m4_to_m5__r2,2,graphormer,[O:12]=[C:11]([CH2:10][CH:8]([CH2:7][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH3:1])[OH:9])[CH2:13][C:14]([S:16])=[O:15]>>[C:5]=12[CH:7]=[CH:8][CH:10]=[C:11]([OH:15])[C:13]=1[C:14]([O:3][C@H:2]([CH3:1])[CH2:4]2)=[O:9],4.0,5.0
BGC1000001_m4_to_m5,BGC1000001,CLOSURE,DH,nan,PT_or_TE,c2c7,iPKS_bacterial,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,BGC1000001_m4_to_m5__r3,3,graphormer,[O:12]=[C:11]([CH2:10][CH:8]([CH2:7][C:5](=[O:6])[CH2:4][CH:2]([OH:3])[CH3:1])[OH:9])[CH2:13][C:14]([S:16])=[O:15]>>[C:5]=12[CH:7]=[CH:8][CH:10]=[C:11]([OH:15])[C:13]=1[C:14]([O:3][C@H:2]([CH3:1])[CH2:4]2)=[O:9],4.0,5.0
BGC1000002_m0_to_m1,BGC1000002,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000002_m0_to_m1__r0,0,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000002_m0_to_m1,BGC1000002,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000002_m0_to_m1__r1,1,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000002_m0_to_m1,BGC1000002,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000002_m0_to_m1__r2,2,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000002_m0_to_m1,BGC1000002,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000002_m0_to_m1__r3,3,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000002_m1_to_m2,BGC1000002,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],BGC1000002_m1_to_m2__r0,0,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9]([CH2:1][CH:2]([OH:3])[CH2:4][C:5](=[O:6])[S:7])=[O:10],1.0,2.0
BGC1000002_m1_to_m2,BGC1000002,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],BGC1000002_m1_to_m2__r1,1,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9]([CH2:1][CH:2]([OH:3])[CH2:4][C:5](=[O:6])[S:7])=[O:10],1.0,2.0
BGC1000002_m1_to_m2,BGC1000002,EXT,"ACP,AT,KR,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],BGC1000002_m1_to_m2__r2,2,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9]([CH2:1][CH:2]([OH:3])[CH2:4][C:5](=[O:6])[S:7])=[O:10],1.0,2.0
